ua,tc,amt,amt_avg,cc,dwm,lzd
0xdffb6bdabb27a737d16961f1cf23870383fb1b13,102,0.0,0.0,2 / 2 / 2,1 / 1 / 1,339
0xb79d881ab24dc52187c38c8dfd730adca5909069,113,1.13,0.009999999999999998,8 / 9 / 9,90 / 26 / 7,265
0x5985e370b2f55fdc8f713ba26af5f0f64c9e31d1,243,0.0,0.0,3 / 2 / 4,75 / 15 / 7,309
0x6e769f26d5291a6dca6b0e73a6f820b027450f78,180,0.45,0.0025,2 / 10 / 2,37 / 7 / 2,77
0xd23b99cfbb611ee08e887706b93f48fe28c043dc,103,0.09,0.0008737864077669903,6 / 11 / 12,24 / 18 / 10,307
0xe09c0f1ebc3c781284ef57211510ec13e8ca8f74,102,0.31,0.00303921568627451,6 / 11 / 13,25 / 20 / 11,307
0x63ed19e6a62221300d15e42934d3d9b5d15347b8,128,1.0,0.0078125,5 / 16 / 12,8 / 8 / 8,246
0x4a2b7c486ef1ff142d1e0a6add7ef3e747a7a9c1,117,0.5,0.004273504273504274,2 / 12 / 2,3 / 2 / 1,273
0xa25403acd25e7fd7abf8eb7cdb997f1159845715,233,0.0,0.0,3 / 2 / 4,67 / 12 / 6,309
0xbdb71faa22bae90ee8e436867403510291784ece,104,0.0,0.0,3 / 2 / 3,54 / 19 / 7,304
0x1beec3cb5431aaaaf3af31e93ad608945c17f11d,115,0.25,0.002173913043478261,5 / 14 / 14,46 / 20 / 7,236
0xf387e9e237e1f17f8548ab3c8f407dbd5b560e4c,105,0.33,0.003142857142857143,6 / 13 / 11,24 / 18 / 10,307
0xfef8b7943be2d184320e42b64bf80b8b7ed73ac2,246,0.0,0.0,3 / 2 / 3,77 / 14 / 5,309
0xb5734b6d94a1eea91e2da9b4228fac66c0c4a1f4,192,0.0,0.0,1 / 2 / 4,6 / 5 / 2,667
0xc2d3804e667e1d6263b7fe746f03dbfec4b83773,240,0.0,0.0,3 / 2 / 5,73 / 14 / 6,309
0xad4796d21431a3d4272a681ce67b0236f1a5783a,2132,0.0,0.0,1 / 1 / 2,199 / 35 / 10,245
0x29dd911a3c65943f83002c34157399b02611bb72,127,0.86,0.006771653543307087,5 / 16 / 10,10 / 10 / 9,246
0xd3dc3cb36f756fbd30fa400850f5dc19e4fe8613,116,0.0,0.0,2 / 3 / 2,20 / 5 / 2,112
0x3e9c0793591c2571b4578baa10851998893d9a08,421,0.0,0.0,1 / 2 / 2,37 / 9 / 4,143
0x9c1ee007fa3ac967cf4c79d43d3c8e3622b648f5,141,0.0,0.0,2 / 13 / 2,37 / 8 / 3,96
0x0195de3029f2cc708c0812f995eb3cc6ba6a69dc,236,0.0,0.0,3 / 2 / 4,70 / 13 / 6,309
0xb6c043a1819d3e2f291b11a51589be2092d8e1a1,172,0.57,0.003313953488372093,1 / 12 / 1,38 / 7 / 2,77
0xbcb1ff0ae904c817e6798e340bd4c4d93ab4b21b,112,0.07,0.000625,7 / 17 / 8,49 / 25 / 8,289
0x3ff4bf62378a81a24665ccbcca613bb3b6c8f0ef,111,0.38,0.0034234234234234236,3 / 16 / 4,6 / 4 / 3,141
0x033b75a02a0766265c09cc1cdf223152ebe2a2cd,114,0.57,0.004999999999999999,6 / 15 / 11,25 / 19 / 10,307
0xc8afd4c307dec693f3dda388cf99201a3f017f63,110,0.35,0.0031818181818181815,3 / 16 / 5,6 / 4 / 3,140
0x1430ebb34d5969713d521bfca99929648636cb22,122,0.25,0.0020491803278688526,1 / 6 / 1,18 / 11 / 3,77
0x07e1e6f2be64549e935af06eb3f87ade69c26280,121,0.53,0.004380165289256199,5 / 18 / 11,11 / 9 / 9,246
0x1b120819767af5ca45307fb4264f2709d1c872e0,118,0.24,0.002033898305084746,1 / 6 / 1,17 / 11 / 3,77
0x8c1761c76b9f204618145956824f8a0799c57b23,113,0.37,0.0032743362831858407,6 / 12 / 10,24 / 19 / 11,307
0x712af6cc763d6a5586356fc906c91d582d5c0215,177,0.56,0.003163841807909605,2 / 11 / 2,37 / 7 / 2,77
0xae4e752989d43f7d870e86a0296cefb3e1a2ef9c,106,0.2,0.0018867924528301887,6 / 16 / 11,22 / 17 / 10,307
0x30f7b7a630a5f4c984a594fb91504891b1c93313,103,0.97,0.00941747572815534,8 / 24 / 18,13 / 5 / 3,274
0x401501bfe1dfbd70774e0292b04530d3e0cf14ca,119,0.41,0.003445378151260504,6 / 14 / 12,25 / 19 / 10,307
0x171f8b6bc5904042d45959c9d56f3e172661ced5,107,0.2,0.001869158878504673,5 / 7 / 5,28 / 10 / 3,85
0xda81a723e748c782284bbb06ab74e3d0a9dbbc77,166,0.0,0.0,4 / 13 / 4,66 / 38 / 11,322
0x983d00be309bb6d31c55ffa4060eca0caafcd7a2,144,0.0,0.0,4 / 4 / 1,25 / 8 / 3,47
0x7808c1da7a9ce08a9db9ff82b0ca1fd1d78a66dc,112,0.41,0.0036607142857142854,6 / 14 / 12,26 / 19 / 9,307
0x59a0fdd8b14e9109b8d20cb12d1b3b2717b79681,216,0.0,0.0,2 / 13 / 2,59 / 15 / 5,96
0x066608fadb38be7e1194e8e2d5da0a6edec343e4,250,0.0,0.0,3 / 2 / 5,81 / 17 / 7,309
